channelname,mediapackageid
КАНАЛ ПРО МЕНТОВ ,25336130564829577
КИНОМИКС ,25336130564829569
ТИПА СМЕШНО И СЕМЕЙНО LOVE ,9573531868962948
LEOMAX + ,41661679214117452
VH1 CLASSIC ,27024980425100355
ТАЙНА ,50669431459135744
FINE LIVING NETWORK ,8447631962114949
8 КАНАЛ ,4506982288146242
ТАЙНЫ ГАЛАКТИКИ ,3099607404585863
ЛЮБИМОЕ КИНО ,55735428049710339
SHOP AND SHOW ,39691354377133825
КИНОХИТ ,23647280704558017
КОМЕДИЯ ,29276780238795335
HOLLYWOOD ,38565454470286727
РЕПТИЛОИДЫ ,42787579120964940
HISTORY2 ,27024980425100358
ЕДА ,38002504516863302
СТРАНА FM ,53765103212727176
BOLT ,1692232521025287
O-LA-LA ,55453953072998594
ВЕСЬДЕНЬВОЙНА ,10980906752522819
КАНАЛ DISNEY ,29558255215507139
JIM JAM ,21395480890862659
MUSIC BOX RUSSIA ,28150880331948098
ФУТБОЛЬЧИК МАЛЬЧИКИ ПОХОЖИ НА КАЧКОВ ТВ ,36313654656592195
VIASAT HISTORY ,33498904889472896
9 ВОЛНА ,53765103212727171
СПАС ,21676955867574471
УКРАИНАСШАПУТИНИРАН ,13232706566218439
VIP SERIAL ,51794778375744842
ZEE TV ,41380204237405573
РАТНИК ,43350529074389575
ПЕРВЫЙ ОБРАЗОВАТЕЛЬНЫЙ ,51231828422321281
ТОЧКА ОТРЫВА ,20269580984015502
NATIONAL GEOGRAPHIC WILD ,46446753818219329
ФУТБОЛЬЧИК МАЛЬЧИКИ ПОХОЖИ НА КАЧКОВ! АРЕНА ,43350529074389568
ПРО ТЯЖЕЛУЮ ЖЕНСКУЮ СУДЬБУ И ЛЮБОВЬ ,27587930378524491
TV 1000 ,47572653725067331
AMEDIA HIT ,30121205168930763
RTG HD ,44476428981236742
ЗАГОРОДНЫЙ ,7603207031978562
ДОМ КИНО ,6195832148418633
ПОБЕДА ,49542978562049992
NICK JR. ,5632882194994758
ФЕНИКС+ КИНО ,2818132427873346
МИР PREMIUM ,54046578189439744
TV 1000 РУССКОЕ КИНО ,17173356240185027
ТИПА ОЧЕНЬ СМЕШНО 4 ,54046578189439688
УКРАИНАСШАПУТИНИРАН ,3944032334721929
РУССКАЯ НОЧЬ ,43350529074389504
SONY TURBO ,12951231589506440
A1 ,35469229726456384
HISTORY ,28150880331948108
ПРИКЛЮЧЕНИЯ HD ,10699431775810886
РЖД ,48136462774343424
МИР ,6758782101842823
КИНОСВИДАНИЕ ,27587930378524480
МОСКВА. ДОВЕРИЕ ,4788457264858688
ИНДИЙСКОЕ КИНО ,41380204237405569
360° НОВОСТИ ,14921556426490116
ПОЕХАЛИ! ,28432355308659908
ИЛЛЮЗИОН+ ,30965630099066624
КВН ТВ ,50105928515473475
РЫБОЛОВ ,47291178748355522
BRIDGE TV ,38283979493574976
ЮВЕЛИРОЧКА ,45602328888083970
КРАСНАЯ ЛИНИЯ ,46165278841507531
DISCOVERY CHANNEL ,20270213374984768
VIP COMEDY ,28995305262083588
СОВЕРШЕННО СЕКРЕТНО ,7884682008690560
TIJI ,9292056892251080
ТИПА ОЧЕНЬ СМЕШНО MUSIC ,53765103212727175
ЭКСТРАСЕНСЫ ,9292056892251072
НЕ ТЕЛЕК НА ТЕЛЕКЕ,1
ФУТБОЛЬЧИК МАЛЬЧИКИ ПОХОЖИ НА КАЧКОВ! СТРАНА ,10699431775810882
СОЮЗ ,41661679214117441
ТДК ,41380204237405568
ПРО ТЯЖЕЛУЮ ЖЕНСКУЮ СУДЬБУ И ЛЮБОВЬ ,50105928515473478
ТНОМЕР ,6758782101842825
1HD MUSIC TELEVISION ,5351407218282758
ПЕРВЫЙ НЕ ПЕРВЫЙ ,18862206100455936
ВЕСТИ FM ,5071029109945920
ТЯПНИЦА ,51794778375744768
ШАНСОН ТВ ,48135603678490945
ЭВРИКА ,24491705634693572
STAR FAMILY ,29276780238795338
АРСЕНАЛ ,5633509054970944
КИНОСЕМЬЯ ,43632004051101440
РОССИЯ К ,21114005914150856
ОРУЖИЕ ,32654479959337667
ТИПА СМЕШНО И СЕМЕЙНО LOVE ,8166156985402500
ЖАРА ,23365805727846209
РУССКИЙ БЕТИПА СМЕШНО И СЕМЕЙНОЕЛЛЕР ,6758782101842821
БЕЛРОС ,4788457264858691
ОТР ,4226087951797888
КАНАЛ ИМ ТС СЛЕД ,21958430844286658
ДОЖДЬ ,39128404423710274
БЕЛАРУСЬ 24 ,38002504516863298
TV 1000 РУССКОЕ КИНО ,36595129633303936
КИНОПРЕМЬЕРА ,44476428981236737
АВТО ПЛЮС ТВ ,25617605541541377
СУПЕР ,10136481822386697
СИНЕМА ,18017781170320642
КХЛ HD ,54046578189439686
ПЁС И КО ,41943154190829259
BRIDGE TV РУССКИЙ ХИТ ,7040257078554688
СУПЕР ,8729106938827074
RTG TV ,22521380797710785
ЗАГОРОДНАЯ ЖИЗНЬ ,566332614176002
ТОЧКА ТВ ,14077131496353991
Т24 ,25054655588117761
BABY TV ,38002504516863304
A2 ,8729106938827077
ТЕЛЕКАФЕ ,6758782101842818
В МИРЕ ЖИВОТНЫХ ,7884682008690564
КАНАЛ DISNEY ,49261503585338114
STAR CINEMA ,16610406286760900
ANIMAL PLANET ,41098729260693760
TVMCHANNEL ,19988106007303682
КУХНЯ ТВ ,19425156053880064
ДОКТОР ,34343329819609088
VIASAT EXPLORE ,39409879400422016
МУЛЬТ ,39972829353845956
ДОМАШНИЕ ЖИВОТНЫЕ ,53202153259303616
ДИКАЯ РЫБАЛКА HD ,1410757544313217
СОЛОВЬЕВ И МАЛАХОВ ,3662557358009932
КИНОУЖАС ,12670643356348160
ТИПА СМЕШНО И СЕМЕЙНО ,39691354377133827
VIASAT SPORT ,23084330751134467
ДОМ КИНО ПРЕМИУМ ,36032179679880322
НАДЕЖДА ,11262381729234762
VIASAT NATURE ,54046578189439683
FOOD NETWORK ,24773180611405959
РОССИЯ К ,16891881263472712
CARTOON NETWORK ,3662557358009921
ЧТО-ТО КРОМЕ МИСС МАРПЛ? ,44476428981236748
RU.TV ,35187754749744516
МАЛЫШ ТВ ,49262390328894656
УНИКУМ ,38002504516863296
РАДОСТЬ МОЯ ,14077131496353986
ФУТБОЛЬЧИК МАЛЬЧИКИ ПОХОЖИ НА КАЧКОВ! ФУТБОЛ 2 ,21395480890862657
ЧЕ ,27306455401812096
РБК ТВ ,31528580052490496
MUSIC BOX GOLD ,5351407218282688
FOX LIFE ,47854128701779136
ФУТБОЛЬЧИК МАЛЬЧИКИ ПОХОЖИ НА КАЧКОВ! ФУТБОЛ 3 ,34061854842897354
ТЕЛЕПУТЕШЕСТВИЯ ,20269580984015490
КИНОПОКАЗ ,51794778375744833
ФУТБОЛЬЧИК МАЛЬЧИКИ ПОХОЖИ НА КАЧКОВ! БОЕЦ ,51513303399033025
ТОНУС ,28713830285371781
РЫЖИЙ ,2536657451161348
ТЯПНИЦА ,26180555494965066
ИЗВЕСТИЯ ,13795656519642177
ID INVESTIGATION DISCOVERY ,51794778375744836
ФУТБОЛЬЧИК МАЛЬЧИКИ ПОХОЖИ НА КАЧКОВ! ФУТБОЛ 1 ,12669756612794560
УСАДЬБА ,9855006845674820
SHOT TV ,47291178748355526
РЕТРО ,28150880331948097
ТИПА ОЧЕНЬ СМЕШНО 4 ,25336130564829571
MTV ,13795656519642176
РОДНОЕ КИНО ,1129282567600384
BBC WORLD ,50950353445609472
